# BEGIN HOT COMMENTS
# country: USA
# source: gesla4.NOAA
# restriction: Public Domain
# station_id_context: gesla4.NOAA
# station_id: seattle-9447130-usa-noaa
# date_imported: 20241228
# datum: Unknown
# confidence: 10
# !units: meters
# !longitude: -122.339167
# !latitude: 47.601944
Belltown, Seattle, Washington, United States
+00:00 :America/Los_Angeles
2.0238 meters
J1          0.043    313.4
K1          0.834    276.8
K2          0.079    37.7
L2          0.049    58.7
M1          0.024    304.1
M2          1.063    10.8
M3          0.004    178.0
M4          0.021    200.7
M6          0.009    312.8
M8          0.001    204.4
N2          0.214    341.1
2N2         0.023    313.1
O1          0.459    254.6
OO1         0.031    330.2
P1          0.257    276.2
Q1          0.073    248.9
2Q1         0.01     265.5
R2          0.003    11.2
S1          0.021    45.0
S2          0.268    36.8
S4          0.002    254.3
S6          0.0      0.0
T2          0.016    38.0
x 0 0
MU2         0.034    238.9
NU2         0.044    355.5
RHO1        0.015    245.0
MK3         0.036    79.3
2MK3        0.035    48.5
MN4         0.009    172.7
MS4         0.012    229.3
2SM2        0.008    284.4
MF          0.015    157.0
MSF         0.0      0.0
MM          0.0      0.0
SA          0.07     283.2
SSA         0.024    217.0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
