# BEGIN HOT COMMENTS
# country: USA
# source: gesla4.NOAA
# restriction: Public Domain
# station_id_context: gesla4.NOAA
# station_id: seattle-9447130-usa-noaa
# date_imported: 20241228
# datum: Unknown
# confidence: 10
# !units: meters
# !longitude: -122.339167
# !latitude: 47.601944
Belltown, Seattle, Washington, United States
+00:00 America/Los_Angeles
0.00 meters
J1          0.03782052   -46.890332
K1          0.82959744   -82.653737
K2          0.07700971   37.991787
L2          0.04360135   58.361145
M1          0.028859979999999997   -161.664142
M2          1.0688599   11.501575
M3          0.00088291   132.536937
M4          0.02129486   -157.905216
M6          0.009403439999999999   -49.236705
M8          0.00086062   -122.738405
N2          0.21406269000000003   -18.98735
2N2          0.023735569999999998   -48.995921
O1          0.45859352999999997   -104.949082
OO1          0.02917923   -28.174586
P1          0.25361615   -84.298779
Q1          0.07476926   -111.072937
2Q1          0.00872387   -106.964309
R2          0.00202794   34.853784
S1          0.0164378   30.818695
S2          0.26267584   37.43742
S4          0.00222632   -108.86535
x 0 0
T2          0.01615848   36.570486
x 0 0
x 0 0
x 0 0
RHO1          0.01531498   -113.710835
x 0 0
x 0 0
MN4          0.00879746   175.263299
MS4          0.011603049999999998   -127.30153
2SM2          0.00758012   -72.05077
MF          0.01829607   138.102781
MSF          0.00144164   11.066372
MM          0.0050948899999999995   150.629051
SA          0.07672149   -71.128046
SSA          0.026669489999999997   -136.797602
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
2MK5          0.0066930800000000006   52.653329
x 0 0
x 0 0
x 0 0
2MS6          0.00647775   -18.410417
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
MKS2          0.0013869400000000001   -151.981689
x 0 0
EPS2          0.00647113   177.618939
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
S3          0.00104382   -139.421495
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
N4          0.00186728   147.782486
x 0 0
x 0 0
2MO5          0.00264606   -152.62301
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
x 0 0
